bay_id,st_marker_id,status,location,lat,lon
5286,1601W,Unoccupied,"(-37.811571751826925, 144.9505736855038)",-37.811571751826925,144.9505736855038
1706,2287S,Present,"(-37.81752919559406, 144.9557702974704)",-37.81752919559406,144.9557702974704
2271,3975S,Unoccupied,"(-37.812909835575425, 144.95259129592344)",-37.812909835575425,144.95259129592344
1329,1345W,Unoccupied,"(-37.81504829392185, 144.95779089366738)",-37.81504829392185,144.95779089366738
6080,13225S,Present,"(-37.81939745978721, 144.94563010486848)",-37.81939745978721,144.94563010486848
6188,13266N,Unoccupied,"(-37.82012737723583, 144.9424877805074)",-37.82012737723583,144.9424877805074
1495,1847S,Present,"(-37.818817491288286, 144.95928018071942)",-37.818817491288286,144.95928018071942
1359,1382E,Present,"(-37.811958560302756, 144.95663321366143)",-37.811958560302756,144.95663321366143
1356,1378E,Unoccupied,"(-37.81214405801068, 144.9567191166223)",-37.81214405801068,144.9567191166223
4314,C6964,Present,"(-37.80921328916135, 144.95608486828178)",-37.80921328916135,144.95608486828178
2674,10183W,Unoccupied,"(-37.803986538656574, 144.94936336445556)",-37.803986538656574,144.94936336445556
5091,9889S,Present,"(-37.82557235490091, 144.96892777114968)",-37.82557235490091,144.96892777114968
1852,2571S,Present,"(-37.81429655455739, 144.95926738991818)",-37.81429655455739,144.95926738991818
5043,9523S,Present,"(-37.82841695836075, 144.96618235502504)",-37.82841695836075,144.96618235502504
3063,5185W,Present,"(-37.811117936020395, 144.95733209932735)",-37.811117936020395,144.95733209932735
4181,C6632,Unoccupied,"(-37.808451484560244, 144.9594390131209)",-37.808451484560244,144.9594390131209
6176,13242N,Present,"(-37.819613851850605, 144.9442484098157)",-37.819613851850605,144.9442484098157
2714,4003W,Present,"(-37.80782281308842, 144.96010770734512)",-37.80782281308842,144.96010770734512
5348,8877W,Present,"(-37.82531767208792, 144.96068072466193)",-37.82531767208792,144.96068072466193
2154,3799S,Unoccupied,"(-37.810563896059776, 144.960767438306)",-37.810563896059776,144.960767438306
5855,C9122,Present,"(-37.79840475600588, 144.96477329313018)",-37.79840475600588,144.96477329313018
6016,13031S,Present,"(-37.82055577041538, 144.94932190203687)",-37.82055577041538,144.94932190203687
6145,C13684,Present,"(-37.81997970286915, 144.94329845538346)",-37.81997970286915,144.94329845538346
1674,2200N,Unoccupied,"(-37.81528963970968, 144.9632997428124)",-37.81528963970968,144.9632997428124
3150,5335W,Unoccupied,"(-37.810692667298795, 144.9557997447494)",-37.810692667298795,144.9557997447494
2158,3807S,Present,"(-37.81065816304497, 144.96044559682167)",-37.81065816304497,144.96044559682167
5162,C1113,Present,"(-37.81552891440721, 144.9609415356895)",-37.81552891440721,144.9609415356895
2060,3547S,Unoccupied,"(-37.81333600840148, 144.95486116843458)",-37.81333600840148,144.95486116843458
6219,13316E,Present,"(-37.819628927845734, 144.94705455454954)",-37.819628927845734,144.94705455454954
5035,9511S,Unoccupied,"(-37.82845408997369, 144.96637871858866)",-37.82845408997369,144.96637871858866
2264,3962N,Unoccupied,"(-37.81264936190972, 144.9530155750789)",-37.81264936190972,144.9530155750789
2527,C2990,Unoccupied,"(-37.81312691716958, 144.9593663293721)",-37.81312691716958,144.9593663293721
6578,13852N,Unoccupied,"(-37.8125448057346, 144.9405949010115)",-37.8125448057346,144.9405949010115
1283,4475W,Unoccupied,"(-37.813129245489435, 144.95410123091293)",-37.813129245489435,144.95410123091293
2900,4860E,Present,"(-37.80947357698816, 144.95830209015045)",-37.80947357698816,144.95830209015045
2018,3464N,Unoccupied,"(-37.812109330290355, 144.95895951200083)",-37.812109330290355,144.95895951200083
3215,5518E,Present,"(-37.80687120945355, 144.95430213931687)",-37.80687120945355,144.95430213931687
2252,3945S,Present,"(-37.81261862917434, 144.95362160189677)",-37.81261862917434,144.95362160189677
1761,2384N,Unoccupied,"(-37.814371236105046, 144.96246424218043)",-37.814371236105046,144.96246424218043
3176,5384E,Present,"(-37.80531081814683, 144.95625480855696)",-37.80531081814683,144.95625480855696
6129,C13620,Present,"(-37.81965646547027, 144.94441725706724)",-37.81965646547027,144.94441725706724
5031,9506N,Unoccupied,"(-37.82841181091756, 144.96660921706632)",-37.82841181091756,144.96660921706632
2244,3932N,Present,"(-37.81221282649996, 144.9545647431513)",-37.81221282649996,144.9545647431513
3869,C5634,Present,"(-37.806940722116515, 144.95495984787948)",-37.806940722116515,144.95495984787948
1058,998E,Present,"(-37.818412521247815, 144.9623924370623)",-37.818412521247815,144.9623924370623
3144,5325W,Present,"(-37.810947743502595, 144.9559172696074)",-37.810947743502595,144.9559172696074
2238,3926N,Unoccupied,"(-37.812158215755076, 144.95475730314467)",-37.812158215755076,144.95475730314467
1291,4483W,Unoccupied,"(-37.81285802621315, 144.95397486300203)",-37.81285802621315,144.95397486300203
